risk_qid,dropped_component,dropped_description,n,interaction_beta,interaction_p,adj_r2
QUO197,QUO179,Exercised 3+ days/week in 3 months before pregnancy,188,-0.35603121360841555,0.0024116248709100674,0.45439736695041
QUO197,QUO41,Took multivitamins >4x/week month before pregnancy,188,-0.39280388708332103,0.0009447916846787585,0.45136250776611575
QUO197,QUO65,Took daily multivitamin in month before pregnancy,188,-0.41979109083743316,0.0004823856856563946,0.44976805766902606
QUO197,QUO249,Had teeth cleaned by dentist before pregnancy,188,-0.38262504849782747,0.001258221534071735,0.4467446505654368
QUO197,QUO75,Had teeth cleaned during pregnancy,188,-0.3748308049205712,0.0014248016013225229,0.45197074847030494
QUO197,QUO257,Was trying to become pregnant,188,-0.35192802478000507,0.0028582967810242277,0.4515727323601706
QUO197,QUO296,Got prenatal care as early as wanted (2000-2008),188,-0.37907748857423634,0.0016537103679352683,0.4433052748221946
QUO197,QUO297,Prenatal care began in first trimester (2009-2011),188,-0.3878259811712277,0.0009935566239496207,0.4525063035001743
QUO197,QUO4,Still breastfeeding at 4 weeks postpartum,188,-0.37276511049799826,0.001374169484120502,0.45655898237076564
QUO197,QUO5,Ever breastfed or pumped breast milk,188,-0.36927265058250763,0.0015194801331206431,0.4527250542607031
QUO197,QUO44,Still breastfeeding at 8 weeks postpartum,188,-0.3723444062110933,0.0013171480795211021,0.4581228127905107
QUO197,QUO101,Baby had checkup/exam within first week,188,-0.41940770485955725,0.0008880305373133446,0.4248226902014134
QUO210,QUO179,Exercised 3+ days/week in 3 months before pregnancy,188,-0.34994359980353673,0.002046200534549847,0.4746943320300381
QUO210,QUO41,Took multivitamins >4x/week month before pregnancy,188,-0.3796479600925351,0.0009411240022347833,0.4733783811282981
QUO210,QUO65,Took daily multivitamin in month before pregnancy,188,-0.405499123731039,0.0004848404966504294,0.4729129681857466
QUO210,QUO249,Had teeth cleaned by dentist before pregnancy,188,-0.37518315153653004,0.0010406283072152966,0.4703187458238708
QUO210,QUO75,Had teeth cleaned during pregnancy,188,-0.3657269882755325,0.0012378961986452275,0.47315988590730107
QUO210,QUO257,Was trying to become pregnant,188,-0.34681725805136365,0.0023621751662852297,0.4738204129313406
QUO210,QUO296,Got prenatal care as early as wanted (2000-2008),188,-0.3725725117992218,0.0014171169070171796,0.46697309962589606
QUO210,QUO297,Prenatal care began in first trimester (2009-2011),188,-0.3748234436144786,0.000982484300753983,0.4739766600322036
QUO210,QUO4,Still breastfeeding at 4 weeks postpartum,188,-0.36654145612200884,0.0010848866966055581,0.47711251777852803
QUO210,QUO5,Ever breastfed or pumped breast milk,188,-0.36304791577984485,0.001187317662165066,0.4741173903397401
QUO210,QUO44,Still breastfeeding at 8 weeks postpartum,188,-0.3652929722312658,0.0010685482026897564,0.47821208443647156
QUO210,QUO101,Baby had checkup/exam within first week,188,-0.4137578343356143,0.0005994869540213443,0.45683981876261825
