risk_qid,excluded_state,n,interaction_beta,interaction_p
QUO197,AK,181,-0.4060980501348218,0.0008746585924348516
QUO197,AR,185,-0.3698390974595687,0.0011284555563557674
QUO197,CO,180,-0.39598944018969334,0.0012604543034617777
QUO197,DE,183,-0.37332022119082275,0.0015716459426060592
QUO197,GA,180,-0.3937989430728285,0.0006780001497530552
QUO197,HI,180,-0.4313745541582066,0.0004681101420018763
QUO197,IL,187,-0.3700991278691921,0.0015928497806936281
QUO197,MA,183,-0.3952283779809592,0.000870779734536864
QUO197,MD,180,-0.38289670729584424,0.0017551089103202688
QUO197,ME,180,-0.37692990654308894,0.002505287037210868
QUO197,MI,185,-0.3644793608310999,0.0021935892811977276
QUO197,MN,180,-0.4323945763693653,0.0005337699257959017
QUO197,MO,184,-0.3797617614523683,0.0015562228387149268
QUO197,MS,187,-0.44923285775354904,0.00013689008718631435
QUO197,NC,184,-0.40842753237691354,0.0004741697963435154
QUO197,NE,180,-0.3986450777659061,0.0014012726401304576
QUO197,NJ,185,-0.3974524762914833,0.0007622867515517662
QUO197,NM,185,-0.4115605785899943,0.00036472219677419204
QUO197,NY,181,-0.4010286025436323,0.001241486132329328
QUO197,OH,182,-0.37497867561000875,0.0014668615931918705
QUO197,OK,185,-0.3823837926356053,0.001244684606568125
QUO197,OR,180,-0.3851975921337367,0.00159871481123397
QUO197,PA,183,-0.363824443189498,0.00245816081698802
QUO197,PRAMS Total,180,-0.4006870215150782,0.0013446542802433292
QUO197,RI,180,-0.4065587326910329,0.0012182943360987686
QUO197,SC,184,-0.3450561079130382,0.002252445240067402
QUO197,SD,187,-0.2568087375909521,0.06083650636132676
QUO197,TN,186,-0.38063372257826444,0.0010198536529368862
QUO197,TX,186,-0.3788752054320957,0.0013300515510508149
QUO197,UT,180,-0.27405890183254067,0.020763324003818306
QUO197,VT,180,-0.3625191012030804,0.002347732390318047
QUO197,WA,180,-0.3225534127087387,0.007664327777910707
QUO197,WI,183,-0.3892589839412869,0.0015582992061404788
QUO197,WV,185,-0.37091560629748305,0.0013879545314798847
QUO197,WY,183,-0.3900927517075033,0.0013719335542030642
QUO197,YC,186,-0.3871855074833548,0.001050678091122581
QUO210,AK,181,-0.3986920304660584,0.000727183350783589
QUO210,AR,185,-0.35497784464351767,0.0012631656392236845
QUO210,CO,180,-0.3852683854528734,0.0010980978019143883
QUO210,DE,183,-0.3666462364962779,0.0012866547811802853
QUO210,GA,180,-0.3793611035877815,0.0007094576500641381
QUO210,HI,180,-0.4218154291880672,0.00038483683730516915
QUO210,IL,187,-0.36035545247654643,0.0014136313409780499
QUO210,MA,183,-0.38820058434517657,0.0007203016795891415
QUO210,MD,180,-0.3809703328073424,0.00127343686476733
QUO210,ME,180,-0.35335734000684904,0.0032506775413014832
QUO210,MI,185,-0.35756729872733506,0.0018564504165079487
QUO210,MN,180,-0.41552917349369295,0.0005420928363815136
QUO210,MO,184,-0.37177596374595834,0.0013311258674697513
QUO210,MS,187,-0.4315089590373469,0.00014183112430621314
QUO210,NC,184,-0.39676914180004363,0.0004452396789247359
QUO210,NE,180,-0.3903363014212202,0.001169094119070735
QUO210,NJ,185,-0.3866456270370389,0.0006917222588798122
QUO210,NM,185,-0.40061586846324976,0.00032215130294988015
QUO210,NY,181,-0.39560505283790603,0.0009168514976261033
QUO210,OH,182,-0.36808249061085774,0.0012261962304345175
QUO210,OK,185,-0.3745785541568071,0.0010609739819114061
QUO210,OR,180,-0.37379557040896816,0.0015175617589160417
QUO210,PA,183,-0.360308435466733,0.0019295045120559795
QUO210,PRAMS Total,180,-0.39181694457710786,0.0011494300291730042
QUO210,RI,180,-0.39067926708250167,0.0012451905388488616
QUO210,SC,184,-0.339415262078653,0.0018770241625953865
QUO210,SD,187,-0.29106810781114956,0.03289978225526635
QUO210,TN,186,-0.3744534443220072,0.0007711636550151724
QUO210,TX,186,-0.37054860784020616,0.0011464075524556527
QUO210,UT,180,-0.24270770977594647,0.0319741014115813
QUO210,VT,180,-0.35809544990299735,0.00180011424305615
QUO210,WA,180,-0.3483009459410853,0.0028360687566433285
QUO210,WI,183,-0.37567221613009427,0.00149453841125613
QUO210,WV,185,-0.36242191836486615,0.0012363016715288833
QUO210,WY,183,-0.3772780502749782,0.0012562844925745331
QUO210,YC,186,-0.37945010043959937,0.0008771452300333493
