,QUO179,QUO41,QUO65,QUO249,QUO75,QUO257,QUO296,QUO297,QUO4,QUO5,QUO44,QUO101
QUO179,1.0,0.6510322465167339,0.5909458300561913,0.4324518804006583,0.5779442601050786,0.6531900937403416,,0.4635375359400347,0.7125902571144362,0.7134864217979796,0.730895574665918,-0.20684455292532478
QUO41,0.6510322465167339,1.0,0.9507115782077741,0.812587408770408,0.7022328518700738,0.8430926777222679,0.6434762072348363,0.7042258956968502,0.540334732509122,0.4981051160164986,0.5768433779615881,0.08187198602953558
QUO65,0.5909458300561913,0.9507115782077741,1.0,0.8121734679873142,0.6205544587730569,0.7394009754775833,0.62586642734871,0.7317874436658781,0.4312271312636251,0.3928001048615718,0.46197752998310565,0.23436308302734687
QUO249,0.4324518804006583,0.812587408770408,0.8121734679873142,1.0,0.8721269315019836,0.7610171334296054,,0.7135105500384745,0.445724843530045,0.39671386969964195,0.4939988063286032,0.20140326326818772
QUO75,0.5779442601050786,0.7022328518700738,0.6205544587730569,0.8721269315019836,1.0,0.7158188505189501,0.6897436536379996,0.7782920765189636,0.3556101642371815,0.327324753813668,0.4117539278988989,0.17119469871529325
QUO257,0.6531900937403416,0.8430926777222679,0.7394009754775833,0.7610171334296054,0.7158188505189501,1.0,0.5998117380547321,0.67675419301817,0.6070080912269393,0.5625120982521342,0.6449858490813675,-0.08254919751886959
QUO296,,0.6434762072348363,0.62586642734871,,0.6897436536379996,0.5998117380547321,1.0,,0.060526819685410814,0.045593765766717795,0.08260871409853189,0.11109440437863972
QUO297,0.4635375359400347,0.7042258956968502,0.7317874436658781,0.7135105500384745,0.7782920765189636,0.67675419301817,,1.0,0.4430350983635132,0.3875960589794549,0.48501416311811346,0.12927349420138573
QUO4,0.7125902571144362,0.540334732509122,0.4312271312636251,0.445724843530045,0.3556101642371815,0.6070080912269393,0.060526819685410814,0.4430350983635132,1.0,0.984358659249784,0.9909698127420317,-0.04514501260855206
QUO5,0.7134864217979796,0.4981051160164986,0.3928001048615718,0.39671386969964195,0.327324753813668,0.5625120982521342,0.045593765766717795,0.3875960589794549,0.984358659249784,1.0,0.9659350829643747,0.005486552016409596
QUO44,0.730895574665918,0.5768433779615881,0.46197752998310565,0.4939988063286032,0.4117539278988989,0.6449858490813675,0.08260871409853189,0.48501416311811346,0.9909698127420317,0.9659350829643747,1.0,-0.06711237765832381
QUO101,-0.20684455292532478,0.08187198602953558,0.23436308302734687,0.20140326326818772,0.17119469871529325,-0.08254919751886959,0.11109440437863972,0.12927349420138573,-0.04514501260855206,0.005486552016409596,-0.06711237765832381,1.0
